"","t.j","sdbs","standard.std","p025","p975","efron.lb","efron.ub","is.significant","idx"
"1",0.538094276583811,0.0101004394783735,0.00887086616126777,-0.0168102714287173,0.0177377715515836,0.518297778978172,0.55789077418945,TRUE,1
"2",0.0252887153244293,0.0412661494443079,0.0371556982983384,-0.0792502226506518,0.0712523038939048,-0.0555914513670617,0.10616888201592,FALSE,2
"3",0.403083486896201,0.0761580462891557,0.0649766314069097,-0.129363125905324,0.128169593555313,0.253816459036521,0.55235051475588,TRUE,3
"4",0.0364003723771366,0.0441692936941366,0.0381900198990252,-0.0616637224674214,0.0818787341510045,-0.0501698524859431,0.122970597240216,FALSE,4
"5",-0.27384740564967,0.103974108055805,0.0916014783318272,-0.184262020510412,0.171213026755389,-0.477632912763723,-0.0700618985356156,TRUE,5
"6",0.100556576917658,0.0524735073374987,0.0449645793511383,-0.0771933251418646,0.0993445045592083,-0.00228960760633778,0.203402761441654,FALSE,6
"7",0.0431146607921704,0.0481921581915933,0.0405239509627818,-0.0732170728118973,0.0822521448953881,-0.0513402336006093,0.13756955518495,FALSE,7
"8",-0.0279526232348339,0.0260283096758033,0.0226310911762388,-0.0445571221842786,0.0422922557995267,-0.0789671727778638,0.023061926308196,FALSE,8
"9",0.0408152287903703,0.0379821087713734,0.0330761202231632,-0.0638495214986256,0.0654748817963479,-0.0336283364584044,0.115258794039145,FALSE,9
"10",0.0203235256430392,0.0419247107737147,0.0345592071970523,-0.0702308766115525,0.0691360590309777,-0.0618473975357,0.102494448821778,FALSE,10
"11",-0.0201845367836141,0.0226219307980465,0.0201829597925454,-0.0480806150329342,0.0260266173947055,-0.0645227064085426,0.0241536328413144,FALSE,11
"12",-0.0326816748886413,0.0713361394226587,0.061517542511028,-0.124253393635322,0.115374741724366,-0.17249793895318,0.107134589175898,FALSE,12
"13",-0.0141173577614209,0.0452747929224051,0.0395656305314413,-0.0824257997285623,0.0825122633241916,-0.102854321296844,0.074619605774002,FALSE,13
"14",-0.0641667172119947,0.0710454599281907,0.059335676797256,-0.118737042902893,0.11166575937317,-0.203413259936332,0.0750798255123427,FALSE,14
"15",-0.037586118742958,0.0448098680391927,0.0395488340728724,-0.0819746879679039,0.0704516871866865,-0.125411846251768,0.0502396087658522,FALSE,15
"16",0.10597206535652,0.0720152633188449,0.0613413329993451,-0.105977326260757,0.124083590782093,-0.0351752570855843,0.247119387798625,FALSE,16
"17",-0.00749128296279021,0.0493537492103795,0.0438084346460395,-0.0939889852435969,0.08148422389414,-0.104222853917156,0.0892402879915757,FALSE,17
"18",0.201180299560812,0.0811046089343571,0.070181228296848,-0.135933709057102,0.144637374873356,0.042218187069267,0.360142412052358,TRUE,18
"19",-0.0334361674705848,0.0545368062012465,0.0461566428969841,-0.0917596676222808,0.0952441775613772,-0.140326343456869,0.073454008515699,FALSE,19
"20",-0.0274296840961662,0.0412902708470947,0.0344327568443034,-0.0694256270751613,0.0655194493629406,-0.108357127868376,0.0534977596760436,FALSE,20
"21",0.0562763725379231,0.0435581846999982,0.0375521426559106,-0.0630628158204175,0.0777613167108853,-0.029096100706017,0.141648845781863,FALSE,21
"22",-0.174041452912201,0.0689714908700283,0.0599584741017844,-0.11435424274577,0.122665625335027,-0.30922309097749,-0.0388598148469127,TRUE,22
"23",-0.0663728325568917,0.0372221722137236,0.0328509906353748,-0.0676493565672248,0.0593717587883991,-0.139326949522138,0.00658128440835418,FALSE,23
"24",-0.0102623139274483,0.0322084259782822,0.027384480587628,-0.056129022688353,0.052107072373352,-0.0733896688436058,0.0528650409887091,FALSE,24
"25",-0.078707574663353,0.0525070058364843,0.04594676306901,-0.0873614619372522,0.0831009894954921,-0.181619415038897,0.0242042657121906,FALSE,25
"26",-0.142991312467226,0.0900969314059235,0.0758240824184912,-0.154584759599613,0.142121393503089,-0.319578053140412,0.0335954282059596,FALSE,26
"27",-0.248370145884689,0.066718970511961,0.0560149688232765,-0.113928502095508,0.112234592258718,-0.379136925173722,-0.117603366595655,TRUE,27
"28",-0.00375748440745744,0.037951157381206,0.0325849623017496,-0.0642873538536105,0.0667914264063089,-0.0781403860462326,0.0706254172313177,FALSE,28
"29",0.0876241540944542,0.0484966267195112,0.0399475419769933,-0.0837391152966405,0.0821394129771609,-0.00742748764747063,0.182675795836379,FALSE,29
"30",0.130861381886224,0.110869268048298,0.0918030674818694,-0.159168338069183,0.179797379875035,-0.0864383904807577,0.348161154253205,FALSE,30
"31",-0.010025258459194,0.0442245184265411,0.0360919686746262,-0.0710048247402969,0.0668858207207756,-0.0967037218088425,0.0766532048904545,FALSE,31
"32",0.265650392914255,0.0513294386136169,0.0418510565331172,-0.0825029397183816,0.0805879853131871,0.165046541884906,0.366254243943604,TRUE,32
"33",-0.00170942010322017,0.0782679247128666,0.0683479081456515,-0.145855091356047,0.136420870467574,-0.155111733685131,0.151692893478691,FALSE,33
"34",0.0308070360545178,0.0358497871355561,0.0315180496252215,-0.0564602946248872,0.0637116629326481,-0.0394572555845996,0.101071327693635,FALSE,34
"35",-0.087308267544655,0.0433525607733181,0.0376800758013233,-0.0779314965290712,0.0684417844375624,-0.172277725297942,-0.00233880979136754,TRUE,35
"36",-0.00677040041438373,0.0392597108182406,0.0345804981742072,-0.0690113743564608,0.0680917229116612,-0.0837180196615929,0.0701772188328254,FALSE,36
"37",0.0075674790143418,0.0416143915779082,0.0371452654720792,-0.0652183694877825,0.0847363516279814,-0.0739952297169051,0.0891301877455887,FALSE,37
